Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK29305431F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544413.80N
0020606.00E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305432F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544340.20N
0020510.80E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305433F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544201.20N
0020224.00E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305434F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544127.60N
0020128.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305435F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544054.60N
0020032.40E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305436F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544021.00N
0015937.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305437F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","543948.00N
0015842.00E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305438F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544000.00N
0015724.60E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305439F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544017.40N
0015610.80E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305440F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544034.80N
0015457.00E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305441F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544052.80N
0015343.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305442F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544110.80N
0015229.40E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305443F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544128.20N
0015116.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305444F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544146.20N
0015002.40E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305445F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544203.60N
0014848.60E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305446F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544221.60N
0014734.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305447F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544239.00N
0014620.40E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305448F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544257.00N
0014506.60E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305449F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544314.40N
0014352.80E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305450F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544332.40N
0014239.00E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305451F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544349.80N
0014125.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305452F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544407.20N
0014011.40E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305453F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544424.60N
0013857.00E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305454F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544503.00N
0013812.60E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305455F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544549.20N
0013813.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305456F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544636.00N
0013813.20E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305457F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544721.60N
0013813.80E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305458F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544808.40N
0013813.80E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305459F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544934.80N
0013814.40E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305460F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544934.80N
0013934.80E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK29305461F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","544936.00N
0014054.60E",814 FT,814 FT,Yes,22/7/2022,,,,,,,,,,,,,,,
UK18581675F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","553818.98N
0041857.53W",1253 FT,459 FT,Unknown,2/4/2019,WHITELEE PH.2 EXT.T33/39,,Yes,Yes,,,Yes,Yes,,,,,,,
UK18581676F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","554009.27N
0042017.74W",1253 FT,459 FT,Unknown,16/3/2020,WHITELEE PH.2 EXT. T6/39,,Yes,Yes,,,Yes,Yes,,,,,,,
UK18581678F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","554001.79N
0041620.91W",1351 FT,459 FT,Unknown,2/4/2019,WHITELEE PH.2 EXT.T38/39,,Yes,Yes,,,Yes,Yes,,,,,,,
UK18581679F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","554055.58N
0041925.99W",1319 FT,459 FT,Unknown,2/4/2019,WHITELEE PH.1 EXT.T3/36,,Yes,Yes,,,Yes,Yes,,,,,,,
UK18581681F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","554029.68N
0041732.99W",1361 FT,459 FT,Unknown,16/3/2020,WHITELEE PH.1 EXT.T20/36,,Yes,Yes,,,Yes,Yes,,,,,,,
UK0105A001F,"OFFSHORE PLATFORM WITH DERRICK
Single","604818.15N
0012655.15E",351 FT,351 FT,Unknown,9/1/2023,3/8 Ninian Southern Platform / Large Steel,,,,,,,,,,,,,,
UK0105A002F,"OFFSHORE PLATFORM WITH DERRICK
Single","605122.56N
0012802.51E",374 FT,374 FT,Unknown,9/1/2023,3/3 Ninian Central Platform / Concrete Gravity Based,,,,,,,,,,,,,,
UK0105A004F,"OFFSHORE PLATFORM WITH DERRICK
Single","605711.31N
0005617.64E",305 FT,305 FT,Unknown,9/1/2023,2/5 Heather A Platform / Large Steel,,,,,,,,,,,,,,
UK0105A065F,"OFFSHORE PLATFORM WITH DERRICK
Single","604831.54N
0014408.58E",325 FT,325 FT,Unknown,9/1/2023,3/9 Alwyn North NAA Platform / Large Steel,,,,,,,,,,,,,,
UK0105A076F,"OFFSHORE PLATFORM WITH DERRICK
Single","603744.00N
0013903.21E",410 FT,410 FT,Unknown,9/1/2023,3/14a Dunbar Platform / Small Steel,,,,,,,,,,,,,,
UK01060002F,"OFFSHORE PLATFORM WITH DERRICK
Single","602122.80N
0040404.20W",450 FT,450 FT,Yes,3/9/2018,SCHIEHALLION,,,Yes,,,,,,,,,,,
UK0150A008F,"RADIO/TV TOWER, TYPE I
Single","560418.62N
0031359.53W",1054 FT,460 FT,Yes,6/8/2021,RTM CRAIGKELLY TOWER,,Yes,Yes,,Yes,,Yes,,,,,,,
UK0150A013F,"POWERLINE PYLON, GENERAL
Single","560514.77N
0045239.65W",584 FT,360 FT,No,11/10/2019,SC11 LOCH LONG,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
UK0150A027F,"RADIO/TV TOWER, TYPE I
Single","563325.96N
0025036.42W",1179 FT,500 FT,Yes,4/8/2021,Stayed Mast,,,Yes,,Yes,,,,,,,,,
UK0150A040F,"RADIO/TV TOWER, TYPE I
Single","572312.28N
0022400.58W",1304 FT,499 FT,Yes,6/8/2021,RTM MELDRUM MAST,,,Yes,,Yes,,,,,,,,,
UK0150A043F,"SMOKESTACK, GENERAL
Single","572839.87N
0014724.99W",622 FT,560 FT,Unknown,5/10/2021,Chimney,,,Yes,,Yes,,,,,,,,,
UK0150A046F,"RADIO/TV TOWER, TYPE I
Single","573529.89N
0041636.37W",1526 FT,829 FT,Yes,18/8/2022,MAST,,,Yes,Yes,Yes,,,,,,,,,
UK0150A049F,"MICROWAVE TOWER, TYPE A (HAS REFLECTOR/CONE)
Single","573610.32N
0020147.87W",1072 FT,360 FT,No,11/10/2019,MORMOND HILL BUCHAN.L14,,,Yes,,Yes,,,,,,,,,
UK0150A056F,"AERIAL CABLE, AERIAL TRAMWAY OR POWER TRANSMISSION LINE
Single","581127.44N
0033057.48W",556 FT,471 FT,No,11/10/2019,L14,,,Yes,,Yes,,,,,,,,,
UK0150A059F,"RADIO/TV TOWER, TYPE I
Single","581940.95N
0032217.03W",1508 FT,791 FT,Yes,6/8/2021,RTM RUMSTER FOREST MAST,,,Yes,,Yes,,,,,,,,,
UK0150A073F,"OFFSHORE PLATFORM WITH DERRICK
Single","580652.65N
0030515.66W",285 FT,285 FT,Unknown,9/1/2023,11/30 Beatrice A Drilling Platform / Small Steel,,,Yes,,Yes,,,,,,,,,
UK0150A074F,"OFFSHORE PLATFORM WITH DERRICK
Single","580850.11N
0030118.02W",269 FT,269 FT,Unknown,9/1/2023,11/30 Beatrice B Platform / Small Steel,,,Yes,,Yes,,,,,,,,,
UK0150A081F,"FLARE PIPE - ON LAND (IN REFINERY)
Single","560551.28N
0031827.06W",785 FT,362 FT,No,11/10/2019,FI12 MOSSMORRAN,,Yes,Yes,,Yes,,Yes,,,,,,,
UK0150A095F,"RADIO/TV TOWER, TYPE I
Single","573623.42N
0015249.57W",643 FT,600 FT,Yes,25/6/2020,GR20 CRIMOND (2),,,Yes,,Yes,,,,,,,,,
UK0150A103F,"RADIO/TV TOWER, TYPE I
Single","560341.92N
0031512.15W",440 FT,361 FT,No,11/10/2019,FI15 COLINSWELL,,Yes,Yes,,Yes,,Yes,,,,,,,
UK0150A114F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","590654.45N
0030844.33W",827 FT,328 FT,No,31/1/2023,Wind Turbine,,,Yes,,,,,,,,,,Yes,
UK0150B452F,"OFFSHORE PLATFORM WITH DERRICK
Single","580538.62N
0030911.97W",151 FT,151 FT,Unknown,9/1/2023,11/30 Beatrice C Platform / Small Steel,,,Yes,,Yes,,,,,,,,,
UK18608799F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","551632.26N
0033339.54W",1679 FT,399 FT,Unknown,29/8/2019,HARESTANES W/F H-71/71,,Yes,,,,,Yes,,,,,,,
UK0150B467F,"OFFSHORE PLATFORM WITH DERRICK
Single","581817.51N
0014441.06W",329 FT,329 FT,Yes,17/12/2013,CAPTAIN,,,Yes,,,,,,,,,,,
UK18608800F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","551616.19N
0033308.26W",1646 FT,399 FT,Unknown,29/8/2019,HARESTANES W/F H-67/71,,Yes,,,,,Yes,,,,,,,
UK18608801F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","551604.84N
0033250.08W",1528 FT,399 FT,Unknown,29/8/2019,HARESTANES W/F H-68/71,,Yes,,,,,Yes,,,,,,,
UK18608802F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","551555.85N
0033237.43W",1459 FT,399 FT,Unknown,29/8/2019,HARESTANES W/F H-69/71,,Yes,,,,,Yes,,,,,,,
UK18608803F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","551604.23N
0033337.77W",1580 FT,399 FT,Unknown,29/8/2019,HARESTANES W/F H-66/71,,Yes,,,,,Yes,,,,,,,
UK0150B427F,"SMOKESTACK, GENERAL
Single","560058.69N
0034116.69W",363 FT,339 FT,No,11/10/2019,CE20 GRANGEMOUTH (2),,Yes,Yes,Yes,Yes,,Yes,,,,,,,
UK0151A059F,"OFFSHORE PLATFORM WITH DERRICK
Single","574315.82N
0004517.39E",243 FT,243 FT,Unknown,9/1/2023,21/9 Forties Unity Riser Platform / Small Steel,,,,,,,,,,,,,,
UK0150B534F,"OFFSHORE PLATFORM
Single","581824.57N
0014612.82W",328 FT,328 FT,Unknown,9/1/2023,13/22a Captain Wellhead Protection Platform / Small Steel,,,Yes,,,,,,,,,,,
UK0150B535F,"OFFSHORE PLATFORM WITH DERRICK
Single","580603.00N
0012624.60W",450 FT,450 FT,Yes,3/9/2018,ROSS,,,Yes,,,,,,,,,,,
UK0150B595F,"OFFSHORE PLATFORM
Single","584936.49N
0001717.51W",203 FT,203 FT,Unknown,9/1/2023,14/9 Manifold Compression Platform 01 / Concrete Gravity Base,,,Yes,,,,,,,,,,,
UK0151A004F,"OFFSHORE PLATFORM WITH DERRICK
Single","562359.77N
0020342.76E",282 FT,282 FT,Unknown,20/6/2022,30/16 Auk A Platform / Small Steel,,,,,,,,,,,,,,
UK0151A006F,"OFFSHORE PLATFORM WITH DERRICK
Single","572700.08N
0012310.75E",295 FT,295 FT,Unknown,9/1/2023,22/17 Montrose A Platform / Small Steel,,,,,,,,,,,,,,
UK0151A008F,"OFFSHORE PLATFORM WITH DERRICK
Single","574334.72N
0005045.00E",302 FT,302 FT,Unknown,9/1/2023,21/10 Forties C Platform / Large Steel,,,,,,,,,,,,,,
UK0151A010F,"OFFSHORE PLATFORM WITH DERRICK
Single","574455.18N
0005448.47E",302 FT,302 FT,Unknown,9/1/2023,21/10 Forties B Platform / Large Steel,,,,,,,,,,,,,,
UK0151A013F,"OFFSHORE PLATFORM WITH DERRICK
Single","582209.18N
0000419.06E",358 FT,358 FT,Unknown,9/1/2023,15/16 Tartan A Platform / Large Steel,,,,,,,,,,,,,,
UK0151A017F,"OFFSHORE PLATFORM WITH DERRICK
Single","593242.42N
0013210.47E",295 FT,295 FT,Unknown,9/1/2023,9/13a Beryl A Platform / Concrete Gravity Based,,,,,,,,,,,,,,
UK0151A019F,"OFFSHORE PLATFORM
Single","595229.06N
0020336.46E",125 FT,125 FT,Unknown,9/1/2023,10/1 Frigg Concrete Drilling Platform 1 / Concrete Gravity Base,,,,,,,,,,,,,,
UK18637773F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","540615.09N
0035310.74W",614 FT,614 FT,Unknown,10/1/2023,,,Yes,,,,Yes,Yes,Yes,,,,,,
UK0151A024F,"OFFSHORE PLATFORM WITH DERRICK
Single","593635.20N
0013040.89E",318 FT,318 FT,Unknown,9/1/2023,9/13a Beryl B Platform / Large Steel,,,,,,,,,,,,,,
UK0151A028F,"OFFSHORE PLATFORM
Single","593313.52N
0013339.63E",141 FT,141 FT,Unknown,3/10/2022,9/13a Beryl Special Purpose Mooring 2 / Steel and Concrete Gravity Base,,,,,,,,,,,,,,
UK0151A030F,"OFFSHORE PLATFORM WITH HELIPAD
Single","584730.36N
0012044.77E",421 FT,421 FT,Unknown,27/2/2020,16/7a Brae B Platform / Large Steel,,,,,,,,,,,,,,
UK0151A033F,"OFFSHORE PLATFORM WITH DERRICK
Single","562707.08N
0021713.02E",384 FT,384 FT,Unknown,20/6/2022,30/17 Clyde Platform / Large Steel,,,,,,,,,,,,,,
UK0151A039F,"OFFSHORE PLATFORM
Single","593201.81N
0013327.22E",138 FT,138 FT,Unknown,3/10/2022,9/13a Beryl Special Purpose Mooring 3 / Steel and Concrete Gravity Base,,,,,,,,,,,,,,
UK0151A044F,"OFFSHORE PLATFORM WITH DERRICK
Single","572227.25N
0012254.29E",184 FT,184 FT,Unknown,9/1/2023,22/17 Arbroath Platform / Small Steel,,,,,,,,,,,,,,
UK0151A055F,"OFFSHORE PLATFORM WITH DERRICK
Single","571712.69N
0021036.35E",302 FT,302 FT,Unknown,9/1/2023,23/21 Lomond Platform / Small Steel,,,,,,,,,,,,,,
UK0151A058F,"OFFSHORE PLATFORM WITH DERRICK
Single","582458.27N
0001957.22E",397 FT,397 FT,Unknown,9/1/2023,15/17 Saltire A Platform / Large Steel,,,,,,,,,,,,,,
UK18637774F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","540633.34N
0034949.66W",614 FT,614 FT,Unknown,10/1/2023,,,Yes,,,,,Yes,Yes,,,,,,
UK0151A061F,"OFFSHORE PLATFORM WITH DERRICK
Single","580329.44N
0010445.86E",381 FT,381 FT,Unknown,9/1/2023,16/26 Alba Northern Platform / Large Steel,,,,,,,,,,,,,,
UK0151A063F,"OFFSHORE PLATFORM WITH DERRICK
Single","594435.42N
0014013.67E",335 FT,335 FT,Unknown,9/1/2023,9/9a Bruce Drilling Platform / Small Steel,,,,,,,,,,,,,,
UK0151A064F,"OFFSHORE PLATFORM WITH DERRICK
Single","581719.33N
0001202.13E",413 FT,413 FT,Unknown,9/1/2023,15/22 Scott JD Platform / Large Steel,,,,,,,,,,,,,,
UK0151A066F,"OFFSHORE PLATFORM WITH DERRICK
Single","585233.87N
0013130.14E",420 FT,420 FT,Unknown,9/1/2023,16/3a Brae East Platform / Small Steel,,,,,,,,,,,,,,
UK0151A067F,"OFFSHORE PLATFORM WITH DERRICK
Single","581718.06N
0001156.51E",364 FT,364 FT,Unknown,9/1/2023,15/22 Scott JU Platform / Small Steel,,,,,,,,,,,,,,
UK0151A070F,"OFFSHORE PLATFORM WITH DERRICK
Single","582738.62N
0001457.91E",469 FT,469 FT,Unknown,9/1/2023,15/17 Piper B Platform / Large Steel,,,,,,,,,,,,,,
UK0151A073F,"OFFSHORE PLATFORM WITH DERRICK
Single","584317.57N
0012401.50E",541 FT,541 FT,No,3/9/2018,16/8-B,,,,,,,,,,,,,,
UK0151A076F,"OFFSHORE PLATFORM WITH DERRICK
Single","571103.78N
0005954.36E",358 FT,358 FT,Unknown,9/1/2023,21/25 Gannet A Platform / Small Steel,,,,,,,,,,,,,,
UK0151A083F,"OFFSHORE PLATFORM WITH DERRICK
Single","591644.17N
0013052.11E",318 FT,318 FT,Unknown,9/1/2023,9/23b Harding Platform / Jackup,,,,,,,,,,,,,,
UK0151A089F,"OFFSHORE PLATFORM WITH DERRICK
Single","564402.74N
0011742.77E",247 FT,247 FT,Yes,17/12/2013,CURLEW,,,,,,,,,,,,,,
UK0151A090F,"OFFSHORE PLATFORM
Single","565758.38N
0015206.90E",233 FT,233 FT,Unknown,17/3/2022,29/5b Franklin Wellhead Platform / Small Steel,,,,,,,,,,,,,,
UK0151A093F,"OFFSHORE PLATFORM WITH DERRICK
Single","570039.80N
0015010.44E",509 FT,509 FT,Unknown,9/1/2023,22/30c Elgin Production Utilities Quarters Platform / Jackup,,,,,,,,,,,,,,
UK0151A095F,"OFFSHORE PLATFORM WITH DERRICK
Single","571523.55N
0004829.27E",358 FT,358 FT,Yes,17/12/2013,TEAL,,,,,,,,,,,,,,
UK0151A098F,"OFFSHORE PLATFORM WITH DERRICK
Single","572228.80N
0015947.40E",302 FT,302 FT,Yes,28/10/2020,MUNGO,,,,,,,,,,,,,,
UK0151A099F,"OFFSHORE PLATFORM WITH DERRICK
Single","580252.78N
0010813.61E",380 FT,380 FT,Yes,28/10/2020,BRITANNIA,,,,,,,,,,,,,,
UK0151A102F,"OFFSHORE PLATFORM WITH DERRICK
Single","570002.13N
0011733.36E",164 FT,164 FT,Yes,17/12/2013,BANFF,,,,,,,,,,,,,,
UK0151A103F,"OFFSHORE PLATFORM WITH DERRICK
Single","570221.18N
0020411.44E",328 FT,328 FT,Yes,17/12/2013,ERSKINE,,,,,,,,,,,,,,
UK0151A105F,"OFFSHORE PLATFORM WITH DERRICK
Single","581923.17N
0004327.14E",164 FT,164 FT,Yes,17/12/2013,McCULLOCH,,,,,,,,,,,,,,
UK0171A399F,"SMOKESTACK, GENERAL
Single","555842.18N
0022811.55W",469 FT,366 FT,No,11/10/2019,LO03 DUNBAR,,Yes,Yes,,Yes,,Yes,,,,,,,
UK0171A401F,"RADIO/TV TOWER, TYPE I
Single","555931.15N
0044737.41W",722 FT,378 FT,Yes,6/8/2021,RTM ROSNEATH MAST,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
UK0171A311F,"POWER PLANT
Single","542528.29N
0033000.17W",475 FT,393 FT,No,11/10/2019,CU03 SELLAFIELD OS,,Yes,,,,,Yes,,,,,,,
UK0171A328F,"FLARE PIPE - ON LAND (IN REFINERY)
Single","543709.90N
0011100.20W",418 FT,400 FT,No,11/10/2019,SEAL SANDS POWER STN.L12,,Yes,,,,,Yes,,,,,,,
UK0171A390F,"POWERLINE PYLON, GENERAL
Single","555443.06N
0042654.55W",411 FT,408 FT,Yes,15/5/2019,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
UK0171A340F,"RADIO/TV TOWER, TYPE I
Single","544456.93N
0030826.60W",1697 FT,502 FT,Yes,6/8/2021,RTM SANDALE MAST,,Yes,,,,,Yes,,,,,,,
UK0171A344F,"RADIO/TV TOWER, TYPE I
Single","544918.72N
0014253.25W",1551 FT,765 FT,No,6/8/2021,RTM BURNHOPE MAST,,Yes,,,,,Yes,,,,,,,
UK0171A346F,"POWER PLANT
Multi","545040.80N
0054713.80W",425 FT,403 FT,No,11/10/2019,AN06 BALLYLUMFORD,,Yes,,,,Yes,,,,,,,,
UK0171A353F,"RADIO/TV TOWER, TYPE I
Single","545441.89N
0031642.57W",776 FT,745 FT,Yes,25/6/2020,L17,,Yes,,,,,Yes,,,,,,,
UK0171A360F,"POWERLINE PYLON, GENERAL
Single","545909.06N
0012824.24W",424 FT,390 FT,No,29/1/2020,TW19 JARROW (JOINS TW06),,Yes,,,,,Yes,,,,,,,
UK0171A362F,"POWERLINE PYLON, GENERAL
Single","545923.00N
0012829.77W",405 FT,390 FT,No,29/1/2020,TW06 HOWDEN JOINS TW19,,Yes,,,,,Yes,,,,,,,
UK0171A364F,"RADIO/TV TOWER, TYPE I
Multi","550157.64N
0020122.77W",1204 FT,485 FT,Yes,6/8/2021,RTM STAGSHAW MF MAST,,Yes,,,,,Yes,,,,,,,
UK0171A373F,"RADIO/TV TOWER, TYPE I
Single","553321.04N
0024735.60W",1718 FT,770 FT,Yes,6/8/2021,RTM SELKIRK MAST,,Yes,Yes,,,,Yes,,,,,,,
UK0171A374F,"RADIO/TV TOWER, TYPE I
Single","553445.97N
0041723.13W",1482 FT,536 FT,Yes,6/8/2021,RTM DARVEL MAST,,Yes,Yes,,,Yes,Yes,,,,,,,
UK0171A480F,"RADIO/TV TOWER, TYPE A
Single","545426.95N
0013543.92W",445 FT,386 FT,No,11/10/2019,TW10 LAMESLEY,,Yes,,,,,Yes,,,,,,,
UK0171A803F,"POWERLINE PYLON, GENERAL
Single","555434.33N
0042705.51W",409 FT,401 FT,Yes,15/5/2019,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
UK0171B535F,"OFFSHORE PLATFORM WITH DERRICK
Single","540143.45N
0005754.00E",121 FT,121 FT,Unknown,9/1/2023,42/30 Ravenspurn South A Platform / Small Steel,,Yes,,,,,,,,,,,,
UK0171B536F,"OFFSHORE PLATFORM WITH DERRICK
Single","540158.86N
0004335.62E",330 FT,330 FT,Yes,17/12/2013,CLEETON,,Yes,,,,,,,Yes,,,,,
UK0171B538F,"OFFSHORE PLATFORM WITH DERRICK
Single","540333.70N
0005354.92E",121 FT,121 FT,Unknown,9/1/2023,42/30 Ravenspurn South B Platform / Small Steel,,Yes,,,,,,,Yes,,,,,
UK0171B553F,"OFFSHORE PLATFORM WITH DERRICK
Single","540150.24N
0010602.78E",289 FT,289 FT,Unknown,9/1/2023,43/26 Ravenspurn North Central Production Platform / Concrete Gravity Based,,,,,,,,,,,,,,
UK0171C302F,"OFFSHORE PLATFORM WITH DERRICK
Single","540421.23N
0005447.76E",115 FT,115 FT,Unknown,9/1/2023,42/30 Ravenspurn North ST3 Platform / Small Steel,,Yes,,,,,,,Yes,,,,,
UK0171C306F,"SMOKESTACK, GENERAL
Single","542519.80N
0033003.20W",465 FT,393 FT,No,11/10/2019,CU59 SELLAFIELD (2),,Yes,,,,,Yes,,,,,,,
UK0150H444F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574247.51N
0042614.48W",1926 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 2 OF 16,,,Yes,Yes,Yes,,,,,,,,,
UK0150H445F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574239.07N
0042602.37W",1903 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 3 OF 16,,,Yes,Yes,Yes,,,,,,,,,
UK0150H446F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574241.22N
0042631.89W",1854 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 4 OF 16,,,Yes,Yes,Yes,,,,,,,,,
UK0150H448F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574227.46N
0042610.48W",1837 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 6 OF 16,,,Yes,Yes,Yes,,,,,,,,,
UK0150H449F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574208.63N
0042605.65W",1772 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 8 OF 16,,,Yes,Yes,Yes,,,,,,,,,
UK0150H450F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574249.66N
0042647.33W",1988 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 9 OF 16,,,Yes,Yes,Yes,,,,,,,,,
UK0150H451F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574249.66N
0042720.57W",1978 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 10 OF 16,,,Yes,Yes,Yes,,,,,,,,,
UK0150H452F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","574238.39N
0042651.16W",1804 FT,328 FT,Unknown,13/3/2013,NOVAR EXT.W/F 12 OF 16,,,Yes,Yes,Yes,,,,,,,,,
