Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK28273765F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580432.99N
0025208.81W",640 FT,640 FT,Yes,10/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273766F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580654.77N
0024241.06W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273767F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580844.99N
0024414.74W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273768F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580656.22N
0024550.08W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273769F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580619.74N
0024550.38W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273770F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580846.40N
0024724.01W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273771F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580654.01N
0024106.50W",640 FT,640 FT,Yes,10/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273772F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580730.48N
0024106.09W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273773F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580729.70N
0023931.53W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273774F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580619.01N
0024415.69W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
